time,土壤含水量（kg/m2）
2012-01-01,255.95
2012-02-01,255.22
2012-03-01,254.82
2012-04-01,254.02
2012-05-01,255.31
2012-06-01,270.37
2012-07-01,298.53999999999996
2012-08-01,290.39
2012-09-01,286.46000000000004
2012-10-01,280.55
2012-11-01,280.84000000000003
2012-12-01,280.47
2013-01-01,280.14
2013-02-01,279.6
2013-03-01,278.89
2013-04-01,277.7
2013-05-01,275.78999999999996
2013-06-01,290.26
2013-07-01,306.11
2013-08-01,294.76
2013-09-01,276.09000000000003
2013-10-01,269.72
2013-11-01,267.87
2013-12-01,266.92
2014-01-01,266.49
2014-02-01,265.90999999999997
2014-03-01,270.86
2014-04-01,278.35
2014-05-01,278.9
2014-06-01,289.77
2014-07-01,284.59000000000003
2014-08-01,267.56
2014-09-01,255.60999999999999
2014-10-01,260.90999999999997
2014-11-01,261.75
2014-12-01,259.78
2015-01-01,259.22
2015-02-01,258.82
2015-03-01,257.96000000000004
2015-04-01,263.14
2015-05-01,261.25
2015-06-01,268.09
2015-07-01,272.2
2015-08-01,266.48
2015-09-01,267.65
2015-10-01,275.94
2015-11-01,274.41999999999996
2015-12-01,274.59000000000003
2016-01-01,273.97
2016-02-01,273.2
2016-03-01,272.11
2016-04-01,270.47
2016-05-01,272.85
2016-06-01,275.6
2016-07-01,278.38
2016-08-01,258.99
2016-09-01,260.27
2016-10-01,276.65999999999997
2016-11-01,276.32
2016-12-01,273.24
2017-01-01,272.47
2017-02-01,271.7
2017-03-01,271.08000000000004
2017-04-01,270.52
2017-05-01,268.64
2017-06-01,264.28
2017-07-01,263.06
2017-08-01,265.84000000000003
2017-09-01,259.43
2017-10-01,257.18
2017-11-01,256.1
2017-12-01,255.19
2018-01-01,254.67
2018-02-01,254.24
2018-03-01,253.7
2018-04-01,258.28999999999996
2018-05-01,256.93
2018-06-01,260.49
2018-07-01,281.94
2018-08-01,295.94
2018-09-01,295.73
2018-10-01,292.61
2018-11-01,289.26
2018-12-01,287.86
2019-01-01,287.05
2019-02-01,286.42
2019-03-01,286.76
2019-04-01,287.33
2019-05-01,289.92
2019-06-01,288.31
2019-07-01,287.08000000000004
2019-08-01,276.9
2019-09-01,265.56
2019-10-01,260.78
2019-11-01,261.43
2019-12-01,260.21
2020-01-01,259.83
2020-02-01,259.48
2020-03-01,259.56
2020-04-01,261.07
2020-05-01,263.90999999999997
2020-06-01,270.11
2020-07-01,298.77
2020-08-01,312.45
2020-09-01,319.07
2020-10-01,316.4
2020-11-01,313.9
2020-12-01,315.27
2021-01-01,313.92999999999995
2021-02-01,312.68999999999994
2021-03-01,313.1
2021-04-01,311.88
2021-05-01,308.31
2021-06-01,307.28
2021-07-01,334.53
2021-08-01,327.26
2021-09-01,332.43999999999994
2021-10-01,328.88
2021-11-01,324.0
2021-12-01,323.21000000000004
2022-01-01,322.52
2022-02-01,322.16999999999996
2022-03-01,325.01
