,time,blk,w,S
0,2016-06-01,G11,363.8,6
1,2016-06-01,G16,320.09,6
2,2016-06-01,G8,383.44,6
3,2016-06-01,G17,297.32,0
4,2016-06-01,G19,259.7,0
5,2016-06-01,G21,313.14,0
6,2016-06-01,G12,420.47,3
7,2016-06-01,G18,370.09,3
8,2016-06-01,G6,256.65,3
9,2016-06-01,G13,425.17,12
10,2016-06-01,G9,436.01,12
11,2016-06-21,G11,400.71,6
12,2016-06-21,G16,473.05,6
13,2016-06-21,G8,387.82,6
14,2016-06-21,G17,499.77,0
15,2016-06-21,G19,483.44,0
16,2016-06-21,G21,480.13,0
17,2016-06-21,G12,766.32,3
18,2016-06-21,G18,618.57,3
19,2016-06-21,G6,745.43,3
20,2016-06-21,G13,425.77,12
21,2016-06-21,G20,520.28,12
22,2016-06-21,G9,458.16,12
23,2016-08-21,G11,630.29,6
24,2016-08-21,G16,772.29,6
25,2016-08-21,G8,809.34,6
26,2016-08-21,G17,928.63,0
27,2016-08-21,G19,820.45,0
28,2016-08-21,G21,742.91,0
29,2016-08-21,G12,804.9499999999999,3
30,2016-08-21,G18,537.85,3
31,2016-08-21,G6,960.47,3
32,2016-08-21,G13,452.93,12
33,2016-08-21,G20,379.05,12
34,2016-08-21,G9,449.37,12
35,2016-07-21,G11,736.52,6
36,2016-07-21,G16,553.31,6
37,2016-07-21,G8,807.9,6
38,2016-07-21,G17,724.63,0
39,2016-07-21,G19,849.14,0
40,2016-07-21,G21,834.03,0
41,2016-07-21,G12,651.48,3
42,2016-07-21,G18,554.91,3
43,2016-07-21,G6,647.8,3
44,2016-07-21,G13,609.87,12
45,2016-07-21,G20,583.78,12
46,2016-07-21,G9,553.24,12
47,2016-09-21,G11,520.43,6
48,2016-09-21,G16,520.62,6
49,2016-09-21,G8,602.28,6
50,2016-09-21,G17,925.01,0
51,2016-09-21,G19,935.0,0
52,2016-09-21,G21,892.67,0
53,2016-09-21,G12,748.76,3
54,2016-09-21,G18,566.41,3
55,2016-09-21,G6,958.32,3
56,2016-09-21,G13,331.67,12
57,2016-09-21,G20,273.35,12
58,2016-09-21,G9,368.95,12
59,2017-05-24,G11,222.02,6
60,2017-05-24,G16,187.82,6
61,2017-05-24,G8,201.0,6
62,2017-05-24,G17,142.69,0
63,2017-05-24,G19,194.87,0
64,2017-05-24,G21,162.89,0
65,2017-05-24,G12,207.54,3
66,2017-05-24,G18,165.36,3
67,2017-05-24,G6,251.31,3
68,2017-05-24,G13,235.89,12
69,2017-05-24,G20,350.62,12
70,2017-05-24,G9,217.27,12
71,2017-06-26,G11,546.03,6
72,2017-06-26,G16,439.99,6
73,2017-06-26,G8,546.98,6
74,2017-06-26,G17,367.81,0
75,2017-06-26,G19,321.41,0
76,2017-06-26,G21,373.65,0
77,2017-06-26,G12,593.18,3
78,2017-06-26,G18,466.59,3
79,2017-06-26,G6,738.89,3
