日期,年份,轮次,处理,放牧小区Block,干重(g)
2016-06-01,2016,牧前,中牧（6天）,G11,363.8
2016-06-01,2016,牧前,中牧（6天）,G16,320.09
2016-06-01,2016,牧前,中牧（6天）,G8,383.44
2016-06-01,2016,牧前,无牧（0天）,G17,297.32
2016-06-01,2016,牧前,无牧（0天）,G19,259.7
2016-06-01,2016,牧前,无牧（0天）,G21,313.14
2016-06-01,2016,牧前,轻牧（3天）,G12,420.46999999999997
2016-06-01,2016,牧前,轻牧（3天）,G18,370.09000000000003
2016-06-01,2016,牧前,轻牧（3天）,G6,256.65
2016-06-01,2016,牧前,重牧（12天）,G13,425.17
2016-06-01,2016,牧前,重牧（12天）,G9,436.01
2016-06-21,2016,第一轮牧后,中牧（6天）,G11,400.71
2016-06-21,2016,第一轮牧后,中牧（6天）,G16,473.05
2016-06-21,2016,第一轮牧后,中牧（6天）,G8,387.82
2016-06-21,2016,第一轮牧后,无牧（0天）,G17,499.77
2016-06-21,2016,第一轮牧后,无牧（0天）,G19,483.44
2016-06-21,2016,第一轮牧后,无牧（0天）,G21,480.13
2016-06-21,2016,第一轮牧后,轻牧（3天）,G12,766.32
2016-06-21,2016,第一轮牧后,轻牧（3天）,G18,618.57
2016-06-21,2016,第一轮牧后,轻牧（3天）,G6,745.43
2016-06-21,2016,第一轮牧后,重牧（12天）,G13,425.77
2016-06-21,2016,第一轮牧后,重牧（12天）,G20,520.28
2016-06-21,2016,第一轮牧后,重牧（12天）,G9,458.15999999999997
2016-08-21,2016,第三轮牧后,中牧（6天）,G11,630.29
2016-08-21,2016,第三轮牧后,中牧（6天）,G16,772.29
2016-08-21,2016,第三轮牧后,中牧（6天）,G8,809.34
2016-08-21,2016,第三轮牧后,无牧（0天）,G17,928.63
2016-08-21,2016,第三轮牧后,无牧（0天）,G19,820.45
2016-08-21,2016,第三轮牧后,无牧（0天）,G21,742.91
2016-08-21,2016,第三轮牧后,轻牧（3天）,G12,804.9499999999999
2016-08-21,2016,第三轮牧后,轻牧（3天）,G18,537.85
2016-08-21,2016,第三轮牧后,轻牧（3天）,G6,960.4699999999999
2016-08-21,2016,第三轮牧后,重牧（12天）,G13,452.93
2016-08-21,2016,第三轮牧后,重牧（12天）,G20,379.05
2016-08-21,2016,第三轮牧后,重牧（12天）,G9,449.37
2016-07-21,2016,第二轮牧后,中牧（6天）,G11,736.52
2016-07-21,2016,第二轮牧后,中牧（6天）,G16,553.31
2016-07-21,2016,第二轮牧后,中牧（6天）,G8,807.9
2016-07-21,2016,第二轮牧后,无牧（0天）,G17,724.63
2016-07-21,2016,第二轮牧后,无牧（0天）,G19,849.14
2016-07-21,2016,第二轮牧后,无牧（0天）,G21,834.03
2016-07-21,2016,第二轮牧后,轻牧（3天）,G12,651.48
2016-07-21,2016,第二轮牧后,轻牧（3天）,G18,554.91
2016-07-21,2016,第二轮牧后,轻牧（3天）,G6,647.8
2016-07-21,2016,第二轮牧后,重牧（12天）,G13,609.87
2016-07-21,2016,第二轮牧后,重牧（12天）,G20,583.78
2016-07-21,2016,第二轮牧后,重牧（12天）,G9,553.24
2016-09-21,2016,第四轮牧后,中牧（6天）,G11,520.43
2016-09-21,2016,第四轮牧后,中牧（6天）,G16,520.62
2016-09-21,2016,第四轮牧后,中牧（6天）,G8,602.28
2016-09-21,2016,第四轮牧后,无牧（0天）,G17,925.01
2016-09-21,2016,第四轮牧后,无牧（0天）,G19,935.0
2016-09-21,2016,第四轮牧后,无牧（0天）,G21,892.67
2016-09-21,2016,第四轮牧后,轻牧（3天）,G12,748.76
2016-09-21,2016,第四轮牧后,轻牧（3天）,G18,566.41
2016-09-21,2016,第四轮牧后,轻牧（3天）,G6,958.3199999999999
2016-09-21,2016,第四轮牧后,重牧（12天）,G13,331.67
2016-09-21,2016,第四轮牧后,重牧（12天）,G20,273.34999999999997
2016-09-21,2016,第四轮牧后,重牧（12天）,G9,368.95
2017-05-24,2017,牧前,中牧（6天）,G11,222.02
2017-05-24,2017,牧前,中牧（6天）,G16,187.82
2017-05-24,2017,牧前,中牧（6天）,G8,201.0
2017-05-24,2017,牧前,无牧（0天）,G17,142.69
2017-05-24,2017,牧前,无牧（0天）,G19,194.87
2017-05-24,2017,牧前,无牧（0天）,G21,162.89000000000001
2017-05-24,2017,牧前,轻牧（3天）,G12,207.54
2017-05-24,2017,牧前,轻牧（3天）,G18,165.35999999999999
2017-05-24,2017,牧前,轻牧（3天）,G6,251.31
2017-05-24,2017,牧前,重牧（12天）,G13,235.89
2017-05-24,2017,牧前,重牧（12天）,G20,350.62
2017-05-24,2017,牧前,重牧（12天）,G9,217.27
