time,平均气温(℃),平均风速(knots),最大单日降水量(mm),平均气温≥18℃的天数,平均气温≤0℃的天数,降水天数,平均能见度(km),最小能见度(km),最大能见度(km),平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2),土壤蒸发量(W/m2),土壤蒸发量(mm)
2012-01-01,-22.94,5.52,0.51,0,31,5,29.0,26.23,29.93,1039.02,1027.8,907.04,13.73,30.87,42.79,168.56,0.57,0.61
2012-02-01,-17.86,6.01,0.76,0,29,5,29.32,26.23,29.93,1032.85,1018.1,903.99,13.0,30.87,42.79,168.56,0.86,0.86
2012-03-01,-7.11,7.36,4.83,0,26,13,28.28,15.61,29.93,1025.52,1012.1,902.44,12.6,30.87,42.79,168.56,1.78,1.91
2012-04-01,6.94,8.82,5.33,0,5,3,28.21,14.81,29.93,1010.29,994.1,898.3,11.97,30.73,42.76,168.56,6.94,7.2
2012-05-01,14.61,8.56,15.49,8,0,10,28.55,21.57,29.93,1008.54,1001.7,899.5,14.18,29.99,42.58,168.56,16.89,18.1
2012-06-01,17.69,6.86,21.59,17,0,19,28.52,20.92,29.93,1002.58,995.3,895.58,19.28,39.52,43.01,168.56,32.34,33.53
2012-07-01,21.14,6.91,78.99,28,0,14,28.2,22.85,29.93,1002.58,995.3,893.12,19.64,55.47,54.9,168.53,29.38,31.48
2012-08-01,19.87,6.76,24.89,24,0,11,29.4,24.94,29.93,1007.95,1002.4,897.44,15.76,44.94,61.25,168.44,13.32,14.27
2012-09-01,12.92,5.67,26.92,4,0,8,29.16,20.6,29.93,1015.88,1008.6,902.06,17.12,45.67,55.29,168.38,12.88,13.36
2012-10-01,4.32,6.26,9.91,0,6,8,29.1,14.81,29.93,1019.4,1011.6,901.86,15.04,42.49,54.69,168.33,7.59,8.13
2012-11-01,-9.43,7.11,11.94,0,27,11,26.62,6.12,29.93,1024.99,1010.3,901.01,14.79,42.71,55.02,168.32,0.88,0.92
2012-12-01,-20.42,5.97,1.52,0,31,7,27.78,19.79,29.93,1033.76,1018.3,903.67,14.42,42.71,55.02,168.32,0.32,0.34
2013-01-01,-19.49,5.56,0.76,0,31,8,27.7,18.19,29.93,1034.38,1022.1,904.53,14.09,42.71,55.02,168.32,0.37,0.4
2013-02-01,-16.67,6.48,1.78,0,28,4,28.98,22.05,29.93,1031.93,1014.9,903.81,13.55,42.71,55.02,168.32,0.81,0.78
2013-03-01,-4.27,7.2,3.81,0,24,6,28.05,22.05,29.93,1019.96,998.5,901.96,12.85,42.7,55.02,168.32,3.14,3.37
2013-04-01,2.07,8.07,3.81,0,14,10,27.95,18.19,29.93,1015.4,1001.9,897.37,11.82,42.6,54.96,168.32,4.81,4.99
2013-05-01,16.08,8.55,4.06,10,0,6,28.18,24.14,29.93,1006.14,995.5,894.49,12.73,40.66,54.08,168.32,11.62,12.45
2013-06-01,18.72,7.31,12.19,19,0,17,28.12,20.28,29.93,1003.81,995.4,893.35,19.25,48.64,54.08,168.29,37.17,38.54
2013-07-01,21.38,6.27,22.35,28,0,20,28.9,23.17,29.93,1000.64,993.7,891.52,20.34,54.64,62.91,168.22,36.64,39.26
2013-08-01,20.04,6.81,43.43,22,0,12,28.92,21.89,29.93,1004.21,995.6,894.21,17.61,48.09,60.95,168.11,20.28,21.73
2013-09-01,13.66,7.15,4.83,4,0,3,29.11,23.82,29.93,1013.89,1000.7,907.05,14.49,38.27,55.29,168.04,9.18,9.51
2013-10-01,4.8,6.55,4.06,0,7,4,27.87,21.57,29.93,1022.89,1003.0,908.33,13.56,35.33,52.83,168.0,5.5,5.9
2013-11-01,-4.59,6.74,1.78,0,23,7,28.61,23.98,29.93,1025.27,1015.7,903.32,11.92,35.23,52.75,167.97,1.96,2.03
2013-12-01,-14.29,5.37,1.52,0,31,6,27.31,16.42,29.93,1031.85,1013.4,904.76,10.98,35.22,52.76,167.96,0.38,0.4
2014-01-01,-12.68,5.99,29.97,0,31,2,18.67,7.89,25.75,1029.22,1013.4,903.19,10.55,35.22,52.76,167.96,0.63,0.67
2014-02-01,-12.2,5.46,0.76,0,26,5,17.45,3.7,28.81,1031.69,1011.3,905.6,9.97,35.22,52.76,167.96,0.43,0.42
2014-03-01,-0.97,6.0,1.27,0,13,4,18.17,9.01,25.43,1022.01,1005.8,901.91,13.96,36.19,52.75,167.96,13.5,14.46
2014-04-01,9.63,7.78,3.81,0,1,4,18.28,10.3,25.27,1016.16,1003.7,901.0,15.5,42.33,52.56,167.96,19.41,20.12
2014-05-01,12.32,8.49,17.78,7,1,16,22.14,10.14,29.93,1007.68,996.3,894.39,16.73,41.97,52.24,167.96,23.61,25.29
2014-06-01,18.41,6.27,27.69,17,0,11,24.51,16.58,29.93,1006.42,999.4,895.58,18.29,49.67,53.89,167.92,27.83,28.85
2014-07-01,22.27,6.47,17.27,28,0,15,22.58,9.33,28.81,1002.92,998.1,900.7,16.7,44.67,55.34,167.88,21.6,23.14
2014-08-01,19.72,5.72,5.08,22,0,13,21.9,12.55,27.2,1008.69,1002.0,898.08,14.85,35.53,49.35,167.83,10.33,11.07
2014-09-01,13.45,6.26,8.89,7,0,10,22.0,17.06,28.16,1014.88,1004.8,901.31,12.84,29.71,45.27,167.79,5.13,5.32
2014-10-01,5.96,5.83,17.53,0,4,7,20.02,8.37,26.72,1020.73,1009.3,906.64,14.98,33.74,44.44,167.75,8.21,8.8
2014-11-01,-4.23,6.17,0.51,0,25,2,21.08,14.48,28.49,1025.64,1009.7,903.85,13.72,35.79,44.52,167.72,3.76,3.9
2014-12-01,-14.58,5.75,1.02,0,31,9,22.13,14.16,29.29,1032.15,1020.7,905.0,11.73,35.81,44.52,167.72,0.69,0.73
2015-01-01,-14.32,5.14,59.94,0,31,12,18.75,7.56,29.29,1033.3,1018.0,906.06,11.17,35.81,44.52,167.72,0.43,0.46
2015-02-01,-11.32,5.35,20.07,0,28,9,18.02,8.69,28.32,1028.66,1013.4,903.37,10.77,35.81,44.52,167.72,0.58,0.56
2015-03-01,-2.06,7.09,0.51,0,19,1,20.28,8.53,27.04,1022.59,1005.9,902.01,9.93,35.79,44.52,167.72,1.44,1.54
2015-04-01,6.6,8.02,14.48,4,5,8,21.69,10.78,29.77,1015.75,1002.3,899.42,15.31,35.63,44.48,167.72,12.19,12.64
2015-05-01,12.66,8.46,18.03,9,0,11,22.6,14.32,27.68,1007.04,994.3,894.03,14.55,34.71,44.27,167.72,14.99,16.06
2015-06-01,17.1,6.13,65.53,12,0,17,22.61,14.16,28.81,1005.01,997.2,893.85,16.82,39.39,44.18,167.7,20.78,21.54
2015-07-01,21.53,6.34,11.94,27,0,17,21.47,14.16,28.81,1004.45,998.4,894.93,17.13,42.8,44.62,167.65,17.54,18.79
2015-08-01,19.63,5.25,25.4,23,0,8,21.73,14.81,27.2,1008.45,998.8,897.84,15.47,38.95,44.45,167.61,10.37,11.11
