放牧强度（intensity）,放牧小区（plot）,SOC土壤有机碳,SIC土壤无机碳,STC土壤全碳,全氮N,土壤C/N比
HGI,G13,16.970499,3.021514,20.020807,2.1466124,8.775727
HGI,G20,16.547655,3.9840171,20.4958,2.1213207,9.301704
HGI,G9,17.423075,2.3172092,19.897139,2.2897844,7.964915
LGI,G12,16.443495,2.948997,19.389454,2.0249362,9.251486
LGI,G18,19.495394,6.33311,25.663357,2.3282375,10.940657
LGI,G6,15.483123,2.2052226,17.616732,2.084053,7.868436
MGI,G11,16.050493,2.030119,18.229889,2.075947,8.082952
MGI,G16,16.077923,7.229803,23.174463,1.8612355,13.667057
MGI,G8,15.531708,1.3308247,16.9167,2.059255,7.570693
NG,G17,17.1936,5.4035225,22.26976,2.1500866,10.431779
NG,G19,17.59426,3.4586616,21.023287,2.1788895,9.346397
NG,G21,18.736065,3.648803,22.37229,2.3109124,9.305499
