SOC土壤有机碳,SIC土壤无机碳,STC土壤全碳,全氮N,土壤C/N比
17.572536,2.2920008,19.77371,2.188792,8.494223
17.093842,3.717862,20.737816,2.1556304,9.088966
18.049725,2.0182972,20.020775,2.3232512,7.7776637
16.911922,2.690329,19.47582,2.0448954,9.068524
20.090218,5.9630656,26.062504,2.3673527,10.795965
15.677922,1.5755552,17.130634,2.0541723,7.745282
16.408401,2.1447186,18.50262,2.0865781,8.155359
16.419783,7.455871,23.63595,1.9489733,13.052358
15.858681,1.0318755,16.910227,2.0480072,7.5102344
17.771505,5.0017085,22.711853,2.1751554,10.404922
18.264368,3.370161,21.656294,2.2369769,9.320108
19.706509,3.20791,23.117975,2.3957403,9.294219
