time,暖季平均气温(℃),暖季降水量(mm),暖季平均风速(m/s),year
2012-12-31,11.2975,62.8025,7.15,2012
2013-12-31,11.559999999999999,35.973749999999995,7.23875,2013
2014-12-31,12.598749999999999,35.75,6.6025,2014
2015-12-31,11.80125,51.7525,6.72125,2015
2016-12-31,12.47125,48.41875,6.7524999999999995,2016
2017-12-31,13.14875,22.22375,6.64625,2017
2018-12-31,13.27125,40.292500000000004,6.84875,2018
2019-12-31,12.8275,40.16375,6.6137500000000005,2019
2020-12-31,12.0975,47.085,6.6475,2020
2021-12-31,12.225,55.151250000000005,6.23125,2021
2022-12-31,12.219999999999999,37.744,6.5,2022
