time,month,year,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2012-01-01,1,2012,13.73,30.87,42.79,168.56
2012-02-01,2,2012,13.0,30.87,42.79,168.56
2012-03-01,3,2012,12.6,30.87,42.79,168.56
2012-04-01,4,2012,11.97,30.73,42.76,168.56
2012-05-01,5,2012,14.18,29.99,42.58,168.56
2012-06-01,6,2012,19.28,39.52,43.01,168.56
2012-07-01,7,2012,19.64,55.47,54.9,168.53
2012-08-01,8,2012,15.76,44.94,61.25,168.44
2012-09-01,9,2012,17.12,45.67,55.29,168.38
2012-10-01,10,2012,15.04,42.49,54.69,168.33
2012-11-01,11,2012,14.79,42.71,55.02,168.32
2012-12-01,12,2012,14.42,42.71,55.02,168.32
2013-01-01,1,2013,14.09,42.71,55.02,168.32
2013-02-01,2,2013,13.55,42.71,55.02,168.32
2013-03-01,3,2013,12.85,42.7,55.02,168.32
2013-04-01,4,2013,11.82,42.6,54.96,168.32
2013-05-01,5,2013,12.73,40.66,54.08,168.32
2013-06-01,6,2013,19.25,48.64,54.08,168.29
2013-07-01,7,2013,20.34,54.64,62.91,168.22
2013-08-01,8,2013,17.61,48.09,60.95,168.11
2013-09-01,9,2013,14.49,38.27,55.29,168.04
2013-10-01,10,2013,13.56,35.33,52.83,168.0
2013-11-01,11,2013,11.92,35.23,52.75,167.97
2013-12-01,12,2013,10.98,35.22,52.76,167.96
2014-01-01,1,2014,10.55,35.22,52.76,167.96
2014-02-01,2,2014,9.97,35.22,52.76,167.96
2014-03-01,3,2014,13.96,36.19,52.75,167.96
2014-04-01,4,2014,15.5,42.33,52.56,167.96
2014-05-01,5,2014,16.73,41.97,52.24,167.96
2014-06-01,6,2014,18.29,49.67,53.89,167.92
2014-07-01,7,2014,16.7,44.67,55.34,167.88
2014-08-01,8,2014,14.85,35.53,49.35,167.83
2014-09-01,9,2014,12.84,29.71,45.27,167.79
2014-10-01,10,2014,14.98,33.74,44.44,167.75
2014-11-01,11,2014,13.72,35.79,44.52,167.72
2014-12-01,12,2014,11.73,35.81,44.52,167.72
2015-01-01,1,2015,11.17,35.81,44.52,167.72
2015-02-01,2,2015,10.77,35.81,44.52,167.72
2015-03-01,3,2015,9.93,35.79,44.52,167.72
2015-04-01,4,2015,15.31,35.63,44.48,167.72
2015-05-01,5,2015,14.55,34.71,44.27,167.72
2015-06-01,6,2015,16.82,39.39,44.18,167.7
2015-07-01,7,2015,17.13,42.8,44.62,167.65
2015-08-01,8,2015,15.47,38.95,44.45,167.61
2015-09-01,9,2015,17.31,39.19,43.57,167.58
2015-10-01,10,2015,15.55,46.53,46.3,167.56
2015-11-01,11,2015,14.55,44.55,47.79,167.53
2015-12-01,12,2015,14.73,44.44,47.89,167.53
2016-01-01,1,2016,14.11,44.44,47.89,167.53
2016-02-01,2,2016,13.34,44.44,47.89,167.53
2016-03-01,3,2016,12.26,44.43,47.89,167.53
2016-04-01,4,2016,11.05,44.07,47.82,167.53
2016-05-01,5,2016,15.43,42.39,47.5,167.53
2016-06-01,6,2016,17.0,43.5,47.6,167.5
2016-07-01,7,2016,17.33,45.2,48.39,167.46
2016-08-01,8,2016,12.85,33.21,45.51,167.42
2016-09-01,9,2016,16.22,33.22,43.44,167.39
2016-10-01,10,2016,17.79,46.72,44.77,167.38
2016-11-01,11,2016,16.33,46.76,45.86,167.37
2016-12-01,12,2016,13.25,46.76,45.86,167.37
2017-01-01,1,2017,12.48,46.76,45.86,167.37
2017-02-01,2,2017,11.71,46.76,45.86,167.37
2017-03-01,3,2017,11.1,46.75,45.86,167.37
2017-04-01,4,2017,11.06,46.28,45.81,167.37
2017-05-01,5,2017,11.81,43.85,45.61,167.37
2017-06-01,6,2017,13.29,38.16,45.5,167.33
2017-07-01,7,2017,15.33,36.15,44.29,167.29
2017-08-01,8,2017,16.83,38.47,43.26,167.28
2017-09-01,9,2017,14.24,35.2,42.71,167.28
2017-10-01,10,2017,13.52,33.85,42.53,167.28
2017-11-01,11,2017,12.13,34.05,42.64,167.28
2017-12-01,12,2017,11.21,34.05,42.65,167.28
2018-01-01,1,2018,10.69,34.05,42.65,167.28
2018-02-01,2,2018,10.26,34.05,42.65,167.28
2018-03-01,3,2018,9.75,34.02,42.65,167.28
2018-04-01,4,2018,14.55,33.84,42.62,167.28
2018-05-01,5,2018,13.94,33.22,42.49,167.28
2018-06-01,6,2018,15.68,35.17,42.36,167.28
2018-07-01,7,2018,19.66,49.55,45.46,167.27
2018-08-01,8,2018,19.01,52.52,57.18,167.23
2018-09-01,9,2018,18.27,49.75,60.56,167.15
2018-10-01,10,2018,14.81,48.14,62.59,167.07
2018-11-01,11,2018,12.47,46.1,63.66,167.03
2018-12-01,12,2018,11.08,46.07,63.68,167.03
2019-01-01,1,2019,10.27,46.07,63.68,167.03
2019-02-01,2,2019,9.64,46.07,63.68,167.03
2019-03-01,3,2019,10.02,46.05,63.66,167.03
2019-04-01,4,2019,11.22,45.67,63.41,167.03
2019-05-01,5,2019,15.88,44.71,62.31,167.02
2019-06-01,6,2019,16.75,43.84,60.77,166.95
2019-07-01,7,2019,17.25,45.0,57.97,166.86
2019-08-01,8,2019,17.39,40.65,52.05,166.81
2019-09-01,9,2019,12.68,37.3,48.82,166.76
2019-10-01,10,2019,13.99,32.99,47.08,166.72
2019-11-01,11,2019,13.89,33.78,47.06,166.7
2019-12-01,12,2019,12.59,33.85,47.07,166.7
2020-01-01,1,2020,12.21,33.85,47.07,166.7
2020-02-01,2,2020,11.86,33.85,47.07,166.7
2020-03-01,3,2020,11.95,33.84,47.07,166.7
2020-04-01,4,2020,13.73,33.65,46.99,166.7
2020-05-01,5,2020,16.51,34.02,46.68,166.7
2020-06-01,6,2020,17.01,40.0,46.43,166.67
2020-07-01,7,2020,21.31,56.6,54.24,166.62
2020-08-01,8,2020,20.79,56.63,68.52,166.51
2020-09-01,9,2020,20.04,56.67,76.04,166.32
2020-10-01,10,2020,16.59,52.88,80.84,166.09
2020-11-01,11,2020,15.04,50.66,82.25,165.95
2020-12-01,12,2020,16.51,50.4,82.44,165.92
2021-01-01,1,2021,15.17,50.4,82.44,165.92
2021-02-01,2,2021,13.93,50.4,82.44,165.92
2021-03-01,3,2021,14.37,50.38,82.43,165.92
2021-04-01,4,2021,14.18,49.84,81.94,165.92
2021-05-01,5,2021,14.77,47.77,79.86,165.91
2021-06-01,6,2021,17.66,47.63,76.28,165.71
2021-07-01,7,2021,22.1,61.7,85.27,165.46
2021-08-01,8,2021,20.36,56.11,85.64,165.15
2021-09-01,9,2021,21.01,59.26,87.32,164.85
2021-10-01,10,2021,16.93,54.84,92.52,164.59
2021-11-01,11,2021,13.91,52.17,93.43,164.49
2021-12-01,12,2021,13.14,52.14,93.45,164.48
2022-01-01,1,2022,12.45,52.14,93.45,164.48
2022-02-01,2,2022,12.1,52.14,93.45,164.48
2022-03-01,3,2022,14.96,52.13,93.44,164.48
