时间,月份,年份,植被指数(NDVI)
2022-01-01,1,2022,0.01
2022-02-01,2,2022,0.01
2022-03-01,3,2022,0.187
2022-04-01,4,2022,0.191
2021-01-01,1,2021,-0.002
2021-02-01,2,2021,0.002
2021-03-01,3,2021,0.203
2021-04-01,4,2021,0.195
2021-05-01,5,2021,0.227
2021-06-01,6,2021,0.337
2021-07-01,7,2021,0.388
2021-08-01,8,2021,0.542
2021-09-01,9,2021,0.51
2021-10-01,10,2021,0.325
2021-11-01,11,2021,0.239
2021-12-01,12,2021,0.026
2020-01-01,1,2020,-0.009
2020-02-01,2,2020,0.002
2020-03-01,3,2020,0.187
2020-04-01,4,2020,0.176
2020-05-01,5,2020,0.187
2020-06-01,6,2020,0.258
2020-07-01,7,2020,0.605
2020-08-01,8,2020,0.581
2020-09-01,9,2020,0.467
2020-10-01,10,2020,0.278
2020-11-01,11,2020,0.219
2020-12-01,12,2020,0.231
2019-01-01,1,2019,0.203
2019-02-01,2,2019,0.203
2019-03-01,3,2019,0.195
2019-04-01,4,2019,0.183
2019-05-01,5,2019,0.207
2019-06-01,6,2019,0.266
2019-07-01,7,2019,0.329
2019-08-01,8,2019,0.325
2019-09-01,9,2019,0.282
2019-10-01,10,2019,0.227
2019-11-01,11,2019,0.195
2019-12-01,12,2019,0.18
2018-01-01,1,2018,0.03
2018-02-01,2,2018,0.183
2018-03-01,3,2018,0.176
2018-04-01,4,2018,0.18
2018-05-01,5,2018,0.191
2018-06-01,6,2018,0.207
2018-07-01,7,2018,0.569
2018-08-01,8,2018,0.577
2018-09-01,9,2018,0.479
2018-10-01,10,2018,0.29
2018-11-01,11,2018,0.227
2018-12-01,12,2018,0.203
2017-01-01,1,2017,0.034
2017-02-01,2,2017,0.172
2017-03-01,3,2017,0.172
2017-04-01,4,2017,0.172
2017-05-01,5,2017,0.18
2017-06-01,6,2017,0.203
2017-07-01,7,2017,0.302
2017-08-01,8,2017,0.38
2017-09-01,9,2017,0.298
2017-10-01,10,2017,0.231
2017-11-01,11,2017,0.211
2017-12-01,12,2017,0.042
2016-01-01,1,2016,-0.017
2016-02-01,2,2016,-0.017
2016-03-01,3,2016,0.172
2016-04-01,4,2016,0.172
2016-05-01,5,2016,0.199
2016-06-01,6,2016,0.27
2016-07-01,7,2016,0.349
2016-08-01,8,2016,0.357
2016-09-01,9,2016,0.317
2016-10-01,10,2016,0.243
2016-11-01,11,2016,0.203
2016-12-01,12,2016,0.199
2015-01-01,1,2015,0.038
2015-02-01,2,2015,0.164
2015-03-01,3,2015,0.172
2015-04-01,4,2015,0.172
2015-05-01,5,2015,0.219
2015-06-01,6,2015,0.376
2015-07-01,7,2015,0.471
2015-08-01,8,2015,0.439
2015-09-01,9,2015,0.369
2015-10-01,10,2015,0.254
2015-11-01,11,2015,0.203
2015-12-01,12,2015,0.022
2014-01-01,1,2014,0.176
2014-02-01,2,2014,0.187
2014-03-01,3,2014,0.18
2014-04-01,4,2014,0.183
2014-05-01,5,2014,0.235
2014-06-01,6,2014,0.329
2014-07-01,7,2014,0.435
2014-08-01,8,2014,0.369
2014-09-01,9,2014,0.341
2014-10-01,10,2014,0.254
2014-11-01,11,2014,0.211
2014-12-01,12,2014,0.203
2013-01-01,1,2013,0.002
2013-02-01,2,2013,-0.006
2013-03-01,3,2013,0.191
2013-04-01,4,2013,0.183
2013-05-01,5,2013,0.223
2013-06-01,6,2013,0.475
2013-07-01,7,2013,0.404
2013-08-01,8,2013,0.459
2013-09-01,9,2013,0.384
2013-10-01,10,2013,0.266
2013-11-01,11,2013,0.227
2013-12-01,12,2013,0.211
2012-01-01,1,2012,0.002
2012-02-01,2,2012,0.002
2012-03-01,3,2012,0.12
2012-04-01,4,2012,0.168
2012-05-01,5,2012,0.195
2012-06-01,6,2012,0.408
2012-07-01,7,2012,0.53
2012-08-01,8,2012,0.597
2012-09-01,9,2012,0.475
2012-10-01,10,2012,0.282
2012-11-01,11,2012,0.176
2012-12-01,12,2012,0.018
