,站点号,海拔高度(m),经度,纬度,年份,月份,平均气温(℃),平均最高气温(℃),平均最低气温(℃),最高气温极值(℃),最低气温极值(℃),平均气温≥18℃的天数,平均气温≥35℃的天数,平均气温≤0℃的天数,平均露点温度(℃),降水量(mm),最大单日降水量(mm),降水天数,平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),积雪深度(mm),平均能见度(km),最小能见度(km),最大能见度(km),平均风速(knots),平均最大持续风速(knots),单日最大平均风速(knots),平均最大瞬时风速(knots),最大瞬时风速极值(knots)
0,54102099999,1004.0,115.375,44.125,2012,1,-22.94,-16.04,-29.35,-9.28,-35.61,0,0,31,-26.72,2.29,0.51,5,1039.02,1027.8,907.04,,29.0,26.23,29.93,5.52,8.96,15.5,,
1,54102099999,1004.0,115.375,44.125,2012,2,-17.86,-10.76,-26.25,-0.72,-34.89,0,0,29,-22.43,2.29,0.76,5,1032.85,1018.1,903.99,,29.32,26.23,29.93,6.01,11.12,15.5,,
2,54102099999,1004.0,115.375,44.125,2012,3,-7.11,-1.32,-14.78,15.39,-27.28,0,0,26,-12.99,21.84,4.83,13,1025.52,1012.1,902.44,,28.28,15.61,29.93,7.36,12.6,27.2,,
3,54102099999,1004.0,115.375,44.125,2012,4,6.94,13.94,-1.94,26.22,-8.5,0,0,5,-9.5,6.1,5.33,3,1010.29,994.1,898.3,,28.21,14.81,29.93,8.82,15.09,25.3,,
4,54102099999,1004.0,115.375,44.125,2012,5,14.61,22.14,4.93,32.5,0.11,8,0,0,-3.31,50.8,15.49,10,1008.54,1001.7,899.5,,28.55,21.57,29.93,8.56,15.54,25.3,,
5,54102099999,1004.0,115.375,44.125,2012,6,17.69,23.12,11.84,31.78,5.5,17,0,0,8.66,98.81,21.59,19,1002.58,995.3,895.58,,28.52,20.92,29.93,6.86,12.05,21.4,,
6,54102099999,1004.0,115.375,44.125,2012,7,21.14,26.71,15.43,33.22,12.0,28,0,0,13.04,183.39,78.99,14,1002.58,995.3,893.12,,28.2,22.85,29.93,6.91,11.66,21.4,,
7,54102099999,1004.0,115.375,44.125,2012,8,19.87,26.51,12.21,32.5,1.39,24,0,0,10.36,62.23,24.89,11,1007.95,1002.4,897.44,,29.4,24.94,29.93,6.76,11.53,19.4,,
8,54102099999,1004.0,115.375,44.125,2012,9,12.92,20.31,4.85,28.28,-1.39,4,0,0,2.99,62.74,26.92,8,1015.88,1008.6,902.06,,29.16,20.6,29.93,5.67,9.4,17.5,,
9,54102099999,1004.0,115.375,44.125,2012,10,4.32,11.16,-3.0,20.61,-11.22,0,0,6,-5.42,16.51,9.91,8,1019.4,1011.6,901.86,,29.1,14.81,29.93,6.26,10.66,19.4,,
