时间,月份,年份,径流量(m3/s),径流量(m3)
2012-01-01,1,2012,0.0,0.0
2012-02-01,2,2012,0.0,0.0
2012-03-01,3,2012,1.0100807,2705400.0
2012-04-01,4,2012,0.5697917,1476900.0
2012-05-01,5,2012,0.16834678,450900.0
2012-06-01,6,2012,0.2140625,554850.0
2012-07-01,7,2012,0.5403226,1447200.0
2012-08-01,8,2012,0.62147176,1664550.1
2012-09-01,9,2012,0.4440104,1150875.0
2012-10-01,10,2012,0.36164314,968624.94
2012-11-01,11,2012,0.29010418,751950.0
2012-12-01,12,2012,0.21370968,572400.0
2013-01-01,1,2013,0.15700606,420525.0
2013-02-01,2,2013,0.10770089,260550.0
2013-03-01,3,2013,0.23387098,626400.0
2013-04-01,4,2013,0.34166667,885600.0
2013-05-01,5,2013,0.20866935,558900.0
2013-06-01,6,2013,0.30833334,799200.0
2013-07-01,7,2013,0.3608871,966600.0
2013-08-01,8,2013,0.5498992,1472849.9
2013-09-01,9,2013,0.39114583,1013850.0
2013-10-01,10,2013,0.29889113,800550.0
2013-11-01,11,2013,0.23671874,613575.0
2013-12-01,12,2013,0.17464718,467775.0
2014-01-01,1,2014,0.12852822,344250.0
2014-02-01,2,2014,0.04129464,99900.0
2014-03-01,3,2014,0.43245968,1158300.0
2014-04-01,4,2014,0.16458334,426600.0
2014-05-01,5,2014,0.24294357,650700.0
2014-06-01,6,2014,0.37916666,982800.0
2014-07-01,7,2014,0.359375,962550.0
2014-08-01,8,2014,0.32610887,873450.0
2014-09-01,9,2014,0.27083334,702000.0
2014-10-01,10,2014,0.26940525,721575.06
2014-11-01,11,2014,0.20677084,535950.0
2014-12-01,12,2014,0.15297379,409725.0
2015-01-01,1,2015,0.085685484,229500.0
2015-02-01,2,2015,0.0,0.0
2015-03-01,3,2015,0.47177422,1263600.0
2015-04-01,4,2015,0.9458334,2451600.0
2015-05-01,5,2015,0.22681451,607500.0
2015-06-01,6,2015,0.34791666,901800.0
2015-07-01,7,2015,0.35433468,949050.0
2015-08-01,8,2015,0.38961694,1043550.0
2015-09-01,9,2015,0.33854166,877500.0
2015-10-01,10,2015,0.3485383,933524.94
2015-11-01,11,2015,0.24713542,640575.0
2015-12-01,12,2015,0.18371975,492075.0
2016-01-01,1,2016,0.13482863,361125.0
2016-02-01,2,2016,0.03987069,99900.0
2016-03-01,3,2016,0.8104839,2170800.0
2016-04-01,4,2016,0.1875,486000.0
2016-05-01,5,2016,0.14516129,388800.0
2016-06-01,6,2016,0.18802084,487350.0
2016-07-01,7,2016,0.27570564,738450.0
2016-08-01,8,2016,0.22731856,608850.0
2016-09-01,9,2016,0.25,648000.0
2016-10-01,10,2016,0.5703125,1527525.0
2016-11-01,11,2016,0.29114583,754650.0
2016-12-01,12,2016,0.21144153,566325.0
2017-01-01,1,2017,0.15272178,409050.0
2017-02-01,2,2017,0.09933036,240300.0
2017-03-01,3,2017,0.14012097,375300.0
2017-04-01,4,2017,0.56458336,1463400.0
2017-05-01,5,2017,0.17540322,469800.0
2017-06-01,6,2017,0.15729167,407700.0
