time,降水量(mm)
2012-01-01,2.29
2012-02-01,2.29
2012-03-01,21.84
2012-04-01,6.1
2012-05-01,50.8
2012-06-01,98.81
2012-07-01,183.39
2012-08-01,62.23
2012-09-01,62.74
2012-10-01,16.51
2012-11-01,30.48
2012-12-01,5.59
2013-01-01,3.3
2013-02-01,2.79
2013-03-01,9.14
2013-04-01,19.56
2013-05-01,11.18
2013-06-01,65.53
2013-07-01,101.35
2013-08-01,68.07
2013-09-01,7.37
2013-10-01,5.59
2013-11-01,3.56
2013-12-01,4.57
2014-01-01,30.73
2014-02-01,2.54
2014-03-01,2.54
2014-04-01,5.84
2014-05-01,62.48
2014-06-01,66.04
2014-07-01,63.5
2014-08-01,27.94
2014-09-01,23.37
2014-10-01,34.29
2014-11-01,1.02
2014-12-01,5.33
2015-01-01,153.16
2015-02-01,34.8
2015-03-01,0.51
2015-04-01,36.58
2015-05-01,45.97
2015-06-01,143.0
2015-07-01,76.71
2015-08-01,46.48
2015-09-01,48.77
2015-10-01,16.0
2015-11-01,156.97
2015-12-01,270.0
2016-01-01,4.32
2016-02-01,9.65
2016-03-01,93.47
2016-04-01,6.1
2016-05-01,16.76
2016-06-01,77.72
2016-07-01,51.31
2016-08-01,54.36
2016-09-01,30.48
2016-10-01,57.15
2016-11-01,44.45
2016-12-01,481.33
2017-01-01,891.79
2017-02-01,202.44
2017-03-01,8.38
2017-04-01,6.6
2017-05-01,6.6
2017-06-01,39.88
2017-07-01,36.58
2017-08-01,56.64
2017-09-01,12.19
2017-10-01,10.92
2017-11-01,207.52
2017-12-01,205.49
2018-01-01,414.02
2018-02-01,298.7
2018-03-01,29.72
2018-04-01,19.56
2018-05-01,20.83
2018-06-01,19.56
2018-07-01,95.76
2018-08-01,50.8
2018-09-01,61.47
2018-10-01,24.64
2018-11-01,236.73
2018-12-01,0.0
2019-01-01,0.51
2019-02-01,184.4
2019-03-01,2.79
2019-04-01,5.84
2019-05-01,30.23
2019-06-01,64.77
2019-07-01,59.18
2019-08-01,113.54
2019-09-01,16.51
2019-10-01,28.45
2019-11-01,5.33
2019-12-01,20.57
2020-01-01,4.06
2020-02-01,8.64
2020-03-01,4.32
2020-04-01,10.67
2020-05-01,39.12
2020-06-01,35.81
2020-07-01,171.96
2020-08-01,83.31
2020-09-01,25.65
2020-10-01,5.84
2020-11-01,5.08
2020-12-01,2.29
2021-01-01,4.57
2021-02-01,240.03
2021-03-01,118.62
2021-04-01,10.67
2021-05-01,17.78
2021-06-01,52.07
2021-07-01,134.37
2021-08-01,37.34
2021-09-01,65.53
2021-10-01,4.83
2021-11-01,530.86
2021-12-01,193.8
2022-01-01,607.31
2022-02-01,796.04
2022-03-01,115.57
2022-04-01,3.3
2022-05-01,13.21
2022-06-01,27.43
2022-07-01,29.21
